Bloque 1 – Variables y tipos de datos	
1	Pide el nombre del usuario y muéstralo con un mensaje personalizado.
2	Pide la edad y muéstrala dentro de una frase.
3	Pide dos números y muestra su suma.
4	Pide dos números y muestra resta, multiplicación y división.
5	Calcula el área de un cuadrado a partir de su lado.
6	Calcula el área de un triángulo usando base y altura.
7	Convierte grados Celsius a Fahrenheit.
8	Convierte metros a kilómetros.
9	Calcula el promedio de tres calificaciones.
10	Intercambia los valores de dos variables sin perder datos.
11	Calcula cuántos meses y días ha vivido una persona.
12	Calcula el precio final con IVA.
13	Calcula un descuento según porcentaje.
14	Pide un texto y muestra cuántos caracteres tiene.
15	Muestra el texto en mayúsculas y minúsculas.
16	Pide un número y muestra su doble, triple y cuadrado.
17	Convierte un número a string y concaténalo con texto.
18	Pide un precio y calcula el total de varios productos.
19	Pide al usuario su ingreso mensual y sus gastos mensuales, y calcula cuánto dinero ahorra en un mes.
20	Pide datos y muestra su tipo con type().
Bloque 2 – Condicionales	
21	Determina si un número es par o impar.
22	Determina si un número es positivo, negativo o cero.
23	Verifica si una persona es mayor de edad.
24	Compara dos números e indica cuál es mayor o si son iguales.
25	Compara tres números y muestra el mayor.
26	Evalúa una calificación y muestra aprobado o reprobado.
27	Convierte una nota numérica en letra.
28	Verifica si una contraseña es correcta.
29	Determina si un año es bisiesto.
30	Aplica descuento solo si el monto supera cierto valor.
31	Determina si una edad está dentro de un rango válido.
32	Verifica si un número es múltiplo de 3 o de 5.
33	Simula un semáforo según el color ingresado.
34	Verifica si un carácter es vocal o consonante.
35	Determina si un número tiene uno, dos o tres dígitos.
36	Valida que un texto no esté vacío.
37	Determina la estación del año según el mes.
38	Calcula el impuesto según salario.
39	Verifica si un usuario tiene acceso.
40	Clasifica edades (niño, joven, adulto).
41	Determina tipo de triángulo.
42	Evalúa una temperatura.
43	Verifica si una letra es mayúscula.
44	Determina turno según hora.
45	Valida entradas incorrectas.
Bloque 3 – Bucles	
46	Imprime los números del 1 al 10 usando for.
47	Imprime los números pares del 1 al 100.
48	Suma los números del 1 al 100.
49	Muestra la tabla de multiplicar de un número dado.
50	Pide números hasta que el usuario escriba “stop”.
51	Calcula el factorial de un número.
52	Genera la serie Fibonacci hasta N términos.
53	Cuenta cuántos números positivos y negativos se ingresan.
54	Invierte un número usando un bucle.
55	Cuenta cuántas vocales tiene una palabra.
56	Muestra un patrón de asteriscos.
57	Implementa un menú que se repite hasta salir.
58	Juego de adivinar número con intentos.
59	Cuenta cuántos intentos hizo el usuario.
60	Valida entradas numéricas con while.
61	Recorre una lista y muestra sus elementos.
62	Suma los elementos de una lista.
63	Encuentra el mayor número de una lista.
64	Cuenta números pares en una lista.
65	Recorre una palabra mostrando índice y letra.
Bloque 4 – Estructuras de datos	
66	Crea una lista y agrega elementos dinámicamente.
67	Elimina un elemento de una lista.
68	Ordena una lista de números.
69	Busca un valor dentro de una lista.
70	Elimina duplicados de una lista.
71	Crea un diccionario con nombres y edades.
72	Busca una clave en un diccionario.
73	Calcula el promedio de valores en un diccionario.
74	Crea una agenda telefónica.
75	Actualiza datos de un contacto.
76	Elimina un contacto.
77	Cuenta la frecuencia de palabras en un texto.
78	Usa una tupla para almacenar datos fijos.
79	Usa un set para eliminar duplicados.
80	Combina listas, diccionarios y bucles en un mini programa.
Bloque 5 – Listas	
81	Crea una lista vacía y permite al usuario agregar 5 números.
82	Muestra todos los elementos de una lista en una sola línea.
83	Calcula la suma total de una lista de números.
84	Calcula el promedio de una lista.
85	Encuentra el valor máximo de una lista sin usar max().
86	Encuentra el valor mínimo sin usar min().
87	Cuenta cuántos números pares hay en una lista.
88	Cuenta cuántos impares hay en una lista.
89	Crea una nueva lista solo con los números mayores a 10.
90	Elimina un número específico ingresado por el usuario.
91	Reemplaza un valor de la lista por otro.
92	Invierte una lista sin usar reverse().
93	Ordena una lista de menor a mayor sin usar sort().
94	Verifica si un número existe dentro de la lista.
95	Cuenta cuántas veces aparece un número.
96	Divide una lista en dos: pares e impares.
97	Duplica cada valor de una lista.
98	Multiplica todos los elementos de una lista.
99	Elimina todos los números negativos.
100	Crea una lista con los cuadrados de otra lista.
101	Une dos listas en una sola.
102	Compara dos listas y muestra si son iguales.
103	Encuentra los elementos comunes entre dos listas.
104	Elimina elementos repetidos manualmente.
105	Rota una lista hacia la derecha.
106	Rota una lista hacia la izquierda.
107	Inserta un elemento en una posición específica.
108	Elimina el último elemento sin usar pop().
109	Genera una lista de números del 1 al N.
110	Simula un historial usando una lista.
Bloque 6 – Strings con lógica	
111	Cuenta cuántas letras tiene una palabra.
112	Cuenta cuántas vocales tiene un texto.
113	Cuenta cuántas consonantes tiene un texto.
114	Cuenta cuántos espacios hay en una frase.
115	Invierte un texto letra por letra.
116	Verifica si una palabra es palíndromo.
117	Convierte la primera letra de cada palabra en mayúscula.
118	Reemplaza una palabra dentro de un texto.
119	Elimina espacios al inicio y final.
120	Cuenta cuántas veces aparece una letra específica.
121	Verifica si una palabra empieza con cierta letra.
122	Verifica si una palabra termina con cierta letra.
123	Divide una frase en palabras.
124	Cuenta cuántas palabras tiene una frase.
125	Encuentra la palabra más larga.
126	Encuentra la palabra más corta.
127	Oculta parte de un texto (ej: contraseña).
128	Valida que una contraseña tenga mínimo 8 caracteres.
129	Verifica si un texto solo contiene letras.
130	Verifica si un texto solo contiene números.
131	Convierte texto a formato título.
132	Elimina signos de puntuación.
133	Genera iniciales a partir de un nombre completo.
134	Simula un corrector simple de palabras.
135	Analiza un texto y muestra estadísticas.
